"zip","zcta"
95696,95688
95697,95697
95698,95698
95699,95699
95701,95701
95703,95703
95709,95709
95712,95945
95713,95713
95714,95714
95715,95715
95717,95717
95720,95720
95721,95721
95722,95722
95724,95724
95726,95726
95728,95728
95735,95735
95736,95736
95741,95670
95742,95742
95746,95746
95747,95747
95757,95757
95758,95758
95759,95624
95762,95762
95763,95630
95765,95765
95776,95776
95798,95691
95799,95691
95811,95811
95812,95814
95813,95815
95814,95814
95815,95815
95816,95816
95817,95817
95818,95818
95819,95819
95820,95820
95821,95821
95822,95822
95823,95823
95824,95824
95825,95825
95826,95826
95827,95827
95828,95828
95829,95829
95830,95830
95831,95831
95832,95832
95833,95833
95834,95834
95835,95835
95836,95626
95837,95837
95838,95838
95840,95814
95841,95841
95842,95842
95843,95843
95851,95815
95852,95815
95853,95815
95860,95821
95864,95864
95865,95825
95866,95825
95867,95814
95887,95821
95894,95818
95899,95691
95901,95901
95903,95903
95910,95910
95912,95912
95913,95963
95914,95914
95915,95915
95916,95916
95917,95917
95918,95918
95919,95919
95920,95920
95922,95922
95923,95923
95924,95945
95925,95925
95926,95926
95927,95926
95928,95928
95929,95928
95930,95930
95932,95932
95934,95934
95935,95935
95936,95936
95937,95937
95938,95938
95939,95939
95940,95965
95941,95941
95942,95942
95943,95943
95944,95944
95945,95945
95946,95946
95947,95947
95948,95948
95949,95949
95950,95950
95951,95951
95953,95953
95954,95954
95955,95955
95956,95956
95957,95957
95958,95965
95959,95959
95960,95960
95961,95961
95962,95962
95963,95963
95965,95965
95966,95966
95967,95969
95968,95968
95969,95969
95970,95970
95971,95971
95972,95914
95973,95973
95974,95974
95975,95975
95976,95973
95977,95977
95978,95978
95979,95979
95980,95915
95981,95981
95982,95982
95983,95983
95984,95984
95986,95986
95987,95987
95988,95988
95991,95991
95992,95991
95993,95993
96001,96001
96002,96002
96003,96003
96006,96006
96007,96007
96008,96008
96009,96009
96010,96010
96011,96011
96013,96013
96014,96014
96015,96015
96016,96016
96017,96017
96019,96019
96020,96020
96021,96021
96022,96022
96023,96023
96024,96024
96025,96025
96027,96027
96028,96028
96029,96029
96031,96031
96032,96032
96033,96033
96034,96034
96035,96035
96037,96037
96038,96038
96039,96039
96040,96040
96041,96041
96044,96044
96046,96046
96047,96047
96048,96048
96049,96049
96050,96050
96051,96051
96052,96052
96054,96054
96055,96055
96056,96056
96057,96057
96058,96058
96059,96059
96061,96061
96062,96062
96063,96063
96064,96064
96065,96065
96067,96067
96068,96068
96069,96069
96070,96051
96071,96071
96073,96073
96074,96074
96075,96075
96076,96076
96078,96035
96079,96019
96080,96080
96084,96084
96085,96085
96086,96086
96087,96087
96088,96088
96089,96019
96090,96090
96091,96091
96092,96092
96093,96093
96094,96094
96095,96033
96096,96096
96097,96097
96099,96001
96101,96101
96103,96103
96104,96104
96105,96105
96106,96106
96107,96107
96108,96108
96109,96109
96110,96110
96111,96111
96112,96112
96113,96113
96114,96114
96115,96115
96116,96116
96117,96117
96118,96118
96119,96119
96120,96120
96121,96121
96122,96122
96123,96123
96124,96124
96125,96125
96126,96126
96127,96130
96128,96128
96129,96129
96130,96130
96132,96132
96133,96133
96134,96134
96135,96135
96136,96136
96137,96137
96140,96140
96141,96141
96142,96142
96143,96143
96145,96145
96146,96146
96148,96148
96150,96150
96151,96150
96152,96150
96154,96150
96155,96155
96156,96150
96157,96150
96158,96150
96160,96161
96161,96161
96162,95724
