"zip","zcta"
90608,90601
90609,90603
90610,90606
90620,90620
90621,90621
90622,90620
90623,90623
90624,90621
90630,90630
90631,90631
90632,90631
90633,92821
90637,90638
90638,90638
90639,90638
90640,90640
90650,90650
90651,90650
90652,90650
90660,90660
90661,90660
90662,90660
90670,90670
90671,90670
90680,90680
90701,90701
90702,90701
90703,90703
90704,90704
90706,90706
90707,90706
90710,90710
90711,90712
90712,90712
90713,90713
90714,90712
90715,90715
90716,90716
90717,90717
90720,90720
90721,90720
90723,90723
90731,90731
90732,90732
90733,90731
90734,90275
90740,90740
90742,90742
90743,90743
90744,90744
90745,90745
90746,90746
90747,90747
90748,90744
90749,90745
90755,90755
90801,90802
90802,90802
90803,90803
90804,90804
90805,90805
90806,90806
90807,90807
90808,90808
90809,90815
90810,90810
90813,90813
90814,90814
90815,90815
90822,90822
90831,90831
90832,90802
90833,90802
90834,90802
90835,90802
90840,90815
90842,90807
90844,90802
90846,90808
90847,90807
90848,90807
90853,90803
90895,90034
90899,90802
91001,91001
91003,91001
91006,91006
91007,91007
91008,91008
91009,91010
91010,91010
91011,91011
91012,91011
91016,91016
91017,91016
91020,91020
91021,91020
91023,91011
91024,91024
91025,91024
91030,91030
91031,91030
91040,91040
91041,91040
91042,91042
91043,91042
91046,91046
91066,91006
91077,91007
91101,91101
91102,91103
91103,91103
91104,91104
91105,91105
91106,91106
91107,91107
91108,91108
91109,91103
91110,91103
91114,91104
91115,91105
91116,91106
91117,91107
91118,91108
91121,91107
91123,91105
91124,91103
91125,91106
91126,91106
91129,91105
91182,91101
91184,91105
91185,91801
91188,91101
91189,91105
91199,90006
91201,91201
91202,91202
91203,91203
91204,91204
91205,91205
91206,91206
91207,91207
91208,91208
91209,91205
91210,91210
91214,91214
91221,91201
91222,91202
91224,91214
91225,91205
91226,91206
91301,91301
91302,91302
91303,91303
91304,91304
91305,91303
91306,91306
91307,91307
91308,91307
91309,91303
91310,91384
91311,91311
91313,91311
91316,91316
91319,91320
91320,91320
91321,91321
91322,91321
91324,91324
91325,91325
91326,91326
91327,91326
91328,91324
91329,91343
91330,91330
91331,91331
91333,91331
91334,91331
91335,91335
91337,91335
91340,91340
91341,91340
91342,91342
91343,91343
91344,91344
91345,91345
91346,91345
91350,91350
91351,91351
91352,91352
91353,91352
91354,91354
91355,91355
91356,91356
91357,91356
91358,91360
91359,91362
91360,91360
91361,91361
91362,91362
91364,91364
91365,91367
91367,91367
91371,91371
91372,91302
91376,91301
91377,91377
91380,91355
91381,91381
91382,91350
91383,91355
91384,91384
91385,91355
91386,91350
91387,91387
91390,91390
91392,91342
91393,91343
91394,91326
91395,91345
91396,91306
91401,91401
91402,91402
91403,91403
91404,91411
91405,91405
91406,91406
91407,91411
91408,91411
91409,91406
91410,91406
91411,91411
91412,91402
91413,91403
91416,91316
91423,91423
91426,91316
91436,91436
91470,91406
91482,91406
91495,91403
91496,91403
91499,91405
91501,91501
91502,91502
91503,91502
91504,91504
91505,91505
91506,91506
91507,91505
91508,91504
91510,91505
91521,91506
91522,91505
91523,91505
91526,91505
91601,91601
91602,91602
91603,91601
91604,91604
91605,91605
91606,91606
91607,91607
91608,91608
91609,91606
91610,91602
91611,91606
91612,91606
91614,91604
91615,91605
91616,91606
91617,91607
91618,91608
91701,91701
91702,91702
91706,91706
91708,91708
91709,91709
91710,91710
91711,91711
91714,91744
91715,91745
91716,91745
91722,91722
91723,91723
91724,91724
91729,91730
91730,91730
91731,91731
91732,91732
91733,91733
91734,91731
91735,91731
91737,91737
91739,91739
91740,91740
91741,91741
91743,91761
91744,91744
91745,91745
91746,91746
91747,91744
91748,91748
91749,91745
91750,91750
91752,91752
91754,91754
91755,91755
91756,91754
91758,91761
91759,91759
91761,91761
91762,91762
91763,91763
91764,91764
91765,91765
91766,91766
91767,91767
91768,91768
91769,91768
91770,91770
91771,91770
91772,91770
91773,91773
91775,91775
91776,91776
91778,91776
91780,91780
91784,91784
91785,91786
91786,91786
91788,91789
91789,91789
91790,91790
91791,91791
91792,91792
91793,91790
91795,91789
91801,91801
91802,91801
91803,91803
91804,91801
91896,91801
91899,91803
91901,91901
91902,91902
91903,91901
91905,91905
91906,91906
91908,91902
91909,91911
91910,91910
91911,91911
91912,91910
91913,91913
91914,91914
91915,91915
91916,91916
91917,91917
91921,91915
91931,91931
91932,91932
91933,91932
91934,91934
91935,91935
91941,91941
91942,91942
91943,91942
91944,91941
91945,91945
91946,91945
91947,91950
91948,91948
91950,91950
91951,91950
91962,91962
91963,91963
91976,91977
91977,91977
91978,91978
91979,91977
91980,91980
91987,91980
92003,92003
92004,92004
92007,92007
92008,92008
92009,92009
92010,92010
92011,92011
92013,92011
92014,92014
92018,92008
92019,92019
92020,92020
92021,92021
92022,92020
92023,92024
92024,92024
92025,92025
92026,92026
92027,92027
92028,92028
92029,92029
92030,92027
92033,92025
92036,92036
92037,92037
92038,92037
92039,92037
92040,92040
92046,92025
92049,92054
92051,92054
92052,92054
92054,92054
92055,92055
92056,92056
92057,92057
92058,92058
92059,92059
92060,92060
92061,92061
92064,92064
92065,92065
92066,92066
92067,92067
92068,92054
92069,92069
92070,92070
92071,92071
92072,92071
92074,92064
92075,92075
92078,92078
92079,92069
92081,92081
92082,92082
92083,92083
92084,92084
92085,92083
92086,92086
92088,92028
92091,92091
92092,92037
92093,92037
92096,92078
92101,92101
92102,92102
92103,92103
92104,92104
92105,92105
92106,92106
92107,92107
92108,92108
92109,92109
92110,92110
92111,92111
92112,92101
92113,92113
92114,92114
92115,92115
92116,92116
92117,92117
92118,92118
92119,92119
92120,92120
92121,92121
92122,92122
92123,92123
92124,92124
92126,92126
92127,92127
92128,92128
92129,92129
92130,92130
92131,92131
92132,92132
92134,92134
92135,92135
92136,91950
92137,92110
92138,92110
92139,92139
92140,92140
92142,92124
92143,92173
92145,92145
92147,92147
92149,92139
92150,92128
92152,92106
92153,92154
92154,92154
92155,92155
92158,92154
92159,92119
92160,92120
92161,92037
92162,92102
92163,92103
92164,92104
92165,92105
92166,92106
92167,92107
92168,92108
92169,92109
92170,92113
92171,92111
92172,92129
92173,92173
92174,92102
92175,92115
92176,92116
92177,92117
92178,92118
92179,92154
92182,92115
92184,92101
92186,92110
92187,92101
92190,92120
92191,92126
92192,92122
92193,92123
92195,92115
92196,92126
92197,92128
92198,92128
92199,92128
92201,92201
92202,92201
92203,92203
92210,92210
92211,92211
92220,92220
92222,92222
92223,92223
92225,92225
92226,92225
92227,92227
92230,92230
92231,92231
92232,92231
92233,92233
92234,92234
92235,92234
92236,92236
92239,92239
92240,92240
92241,92241
92242,92242
92243,92243
92244,92243
92247,92253
92248,92253
92249,92249
92250,92250
92251,92251
92252,92252
92253,92253
92254,92254
92255,92260
92256,92256
92257,92257
92258,92258
92259,92259
92260,92260
92261,92260
92262,92262
92263,92262
92264,92264
92266,92266
92267,92267
92268,92268
92270,92270
92273,92273
92274,92274
92275,92275
92276,92276
92277,92277
92278,92278
92280,92280
92281,92281
92282,92282
92283,92283
92284,92284
92285,92285
92286,92284
92301,92301
92304,92304
92305,92305
92307,92307
92308,92308
92309,92309
92310,92310
92311,92311
92312,92311
92313,92313
92314,92314
92315,92315
92316,92316
92317,92352
92318,92354
92320,92320
92321,92321
92322,92322
92323,92364
92324,92324
92325,92325
92326,92407
92327,92327
92328,92328
92329,92371
92331,92335
92332,92332
92333,92333
92334,92335
92335,92335
92336,92336
92337,92337
92338,92338
92339,92339
92340,92345
92341,92341
92342,92342
92344,92344
92345,92345
92346,92346
92347,92347
92350,92354
92352,92352
92354,92354
92356,92356
92357,92354
92358,92358
92359,92359
92363,92363
92364,92364
92365,92365
92366,92364
92368,92368
92369,92346
92371,92371
92372,92372
92373,92373
92374,92374
92375,92373
92376,92376
92377,92377
92378,92378
92382,92382
92384,92384
92385,92385
92386,92386
92389,92389
92391,92391
92392,92392
92393,92395
92394,92394
92395,92395
92397,92397
92398,92398
92399,92399
92401,92401
92402,92401
92403,92401
92404,92404
92405,92405
92406,92405
92407,92407
92408,92408
92410,92410
92411,92411
92412,92401
92413,92404
92414,92404
92415,92404
92418,92401
92423,92408
92424,92404
92427,92407
92501,92501
92502,92501
92503,92503
92504,92504
92505,92505
92506,92506
92507,92507
92508,92508
92509,92509
92513,92503
92514,92504
92515,92503
92516,92506
92517,92507
92518,92518
92519,92509
92521,92507
92522,92501
92530,92530
92531,92530
92532,92532
92536,92536
92539,92539
92543,92543
92544,92544
92545,92545
92546,92543
92548,92548
92549,92549
92551,92551
92552,92553
92553,92553
92554,92553
92555,92555
92556,92553
92557,92557
92561,92561
92562,92562
92563,92563
92564,92562
92567,92567
92570,92570
92571,92571
92572,92570
92581,92583
92582,92582
92583,92583
92584,92584
92585,92585
92586,92586
92587,92587
92589,92591
92590,92590
92591,92591
92592,92592
92593,92590
92595,92595
92596,92596
92599,92571
92602,92602
92603,92603
92604,92604
92605,92647
92606,92606
92607,92677
92609,92630
92610,92610
92612,92612
92614,92614
92615,92646
92616,92612
92617,92617
92618,92618
92619,92618
92620,92620
92623,92614
92624,92624
92625,92625
92626,92626
92627,92627
92628,92626
92629,92629
92630,92630
92637,92637
92646,92646
92647,92647
92648,92648
92649,92649
92650,92618
92651,92651
92652,92651
92653,92653
92654,92653
92655,92655
92656,92656
92657,92657
92658,92660
92659,92663
92660,92660
92661,92661
92662,92662
92663,92663
92672,92672
92673,92673
92674,92673
92675,92675
92676,92676
92677,92677
92678,92678
92679,92679
92683,92683
92684,92683
92685,92683
92688,92688
92690,92691
92691,92691
92692,92692
92693,92675
92694,92694
92697,92612
92698,92612
92701,92701
92702,92701
92703,92703
92704,92704
92705,92705
92706,92706
92707,92707
92708,92708
92711,92701
92712,92701
92725,92707
92728,92708
92735,92705
92780,92780
92781,92780
92782,92782
92799,92704
92801,92801
92802,92802
92803,92801
92804,92804
92805,92805
92806,92806
92807,92807
92808,92808
92809,92807
92811,92870
92812,92802
92814,92804
92815,92802
92816,92806
92817,92807
92821,92821
92822,92821
92823,92823
92825,92805
92831,92831
92832,92832
92833,92833
92834,92831
92835,92835
92836,92832
92837,92833
92838,92835
92840,92840
92841,92841
92842,92840
92843,92843
92844,92844
92845,92845
92846,92845
92850,92801
92856,92866
92857,92865
92859,92869
92860,92860
92861,92861
92862,92676
92863,92867
92864,92867
92865,92865
92866,92866
92867,92867
92868,92868
92869,92869
92870,92870
92871,92870
92877,92881
92878,92882
92879,92879
92880,92880
92881,92881
92882,92882
92883,92883
92885,92886
92886,92886
92887,92887
92899,92807
93001,93001
93002,93001
93003,93003
93004,93004
93005,93003
93006,93003
93007,93003
93009,93003
93010,93010
93011,93010
93012,93012
93013,93013
93014,93013
93015,93015
93016,93015
93020,93021
93021,93021
93022,93022
93023,93023
93024,93023
93030,93030
93031,93036
93032,93036
93033,93033
93034,93033
93035,93035
93036,93036
93040,93040
93041,93041
93042,93042
93043,93043
93044,93043
93060,93060
93061,93060
93062,93065
93063,93063
93064,93064
93065,93065
93066,93066
93067,93067
93094,93065
93099,93063
93101,93101
93102,93101
93103,93103
93105,93105
93106,93117
93107,93117
93108,93108
93109,93109
93110,93110
93111,93111
93116,93117
93117,93117
93118,93117
93120,93101
93121,93101
93130,93105
93140,93103
93150,93108
93160,93111
93190,93101
93199,93117
93201,93201
93202,93202
93203,93203
93204,93204
93205,93205
93206,93206
93207,93207
93208,93208
93210,93210
93212,93212
93215,93215
93216,93215
