"providerid","residentnum","residency","residencygu"
50264,0,FALSE,FALSE
50267,0,FALSE,FALSE
50268,0,FALSE,FALSE
50269,0,FALSE,FALSE
50270,0,FALSE,FALSE
50272,0,FALSE,FALSE
50273,0,FALSE,FALSE
50274,0,FALSE,FALSE
50276,39,TRUE,FALSE
50277,31,TRUE,FALSE
50278,0,FALSE,FALSE
50279,0,FALSE,FALSE
50280,25,TRUE,FALSE
50281,0,FALSE,FALSE
50282,0,FALSE,FALSE
50283,0,FALSE,FALSE
50286,0,FALSE,FALSE
50289,0,FALSE,FALSE
50290,0,FALSE,FALSE
50291,0,FALSE,FALSE
50292,0.5,TRUE,TRUE
50293,31,TRUE,FALSE
50295,0,FALSE,FALSE
50296,0,FALSE,FALSE
50298,0,FALSE,FALSE
50299,2,TRUE,FALSE
50300,0,FALSE,FALSE
50301,0,FALSE,FALSE
50302,0,FALSE,FALSE
50303,0,FALSE,FALSE
50305,0,FALSE,FALSE
50307,0,FALSE,FALSE
50308,0,FALSE,FALSE
50309,0,FALSE,FALSE
50310,2,TRUE,FALSE
50312,0,FALSE,FALSE
50313,0,FALSE,FALSE
50315,112,TRUE,FALSE
50317,0,FALSE,FALSE
50318,0,FALSE,FALSE
50319,2,TRUE,FALSE
50320,110,TRUE,FALSE
50324,0,FALSE,FALSE
50325,0,FALSE,FALSE
50326,0,FALSE,FALSE
50327,615,TRUE,TRUE
50328,1,TRUE,FALSE
50329,1.5,TRUE,FALSE
50331,0,FALSE,FALSE
50333,0,FALSE,FALSE
50334,0,FALSE,FALSE
50335,0,FALSE,FALSE
50336,0,FALSE,FALSE
50337,0,FALSE,FALSE
50338,0,FALSE,FALSE
50342,0,FALSE,FALSE
50343,0,FALSE,FALSE
50345,0,FALSE,FALSE
50348,0,FALSE,TRUE
50349,0,FALSE,FALSE
50350,0,FALSE,FALSE
50351,0,FALSE,FALSE
50352,0,FALSE,FALSE
50353,0,FALSE,FALSE
50355,0,FALSE,FALSE
50357,0,FALSE,FALSE
50359,0,FALSE,FALSE
50360,0,FALSE,FALSE
50361,0,FALSE,FALSE
50362,8,TRUE,FALSE
50363,0,FALSE,FALSE
50366,0,FALSE,FALSE
50367,0,FALSE,FALSE
50369,0,FALSE,FALSE
50371,0,FALSE,FALSE
50372,0,FALSE,FALSE
50373,0,FALSE,TRUE
50376,438.38,TRUE,TRUE
50377,0,FALSE,FALSE
50378,0,FALSE,FALSE
50379,0,FALSE,FALSE
50380,1,TRUE,FALSE
50381,0,FALSE,FALSE
50382,0.25,TRUE,FALSE
50383,0,FALSE,FALSE
50385,0,FALSE,FALSE
50387,0,FALSE,FALSE
50388,0,FALSE,FALSE
50390,0,FALSE,FALSE
50391,0,FALSE,FALSE
50392,0,FALSE,FALSE
50393,30,TRUE,FALSE
50394,0,FALSE,FALSE
50395,3,TRUE,FALSE
50396,49.88,TRUE,FALSE
50397,0,FALSE,FALSE
50401,0,FALSE,FALSE
50403,0,FALSE,FALSE
50404,0,FALSE,FALSE
50405,0,FALSE,FALSE
50406,0,FALSE,FALSE
50407,0,FALSE,FALSE
50410,0,FALSE,FALSE
50411,5,TRUE,TRUE
50413,0,FALSE,FALSE
50414,0,FALSE,FALSE
50415,0,FALSE,FALSE
50417,0,FALSE,FALSE
50418,0,FALSE,FALSE
50419,0,FALSE,FALSE
50420,0,FALSE,FALSE
50421,0,FALSE,FALSE
50423,0,FALSE,FALSE
50424,25,TRUE,FALSE
50425,40,TRUE,TRUE
50426,0,FALSE,FALSE
50427,0.5,TRUE,FALSE
50428,0,FALSE,FALSE
50430,0,FALSE,FALSE
50431,0,FALSE,FALSE
50432,0,FALSE,FALSE
50433,0,FALSE,FALSE
50434,0,FALSE,FALSE
50435,0,FALSE,FALSE
50436,0,FALSE,FALSE
50438,75,TRUE,FALSE
50440,0,FALSE,FALSE
50441,570,TRUE,TRUE
50442,0,FALSE,FALSE
50443,0,FALSE,FALSE
50444,15,TRUE,FALSE
50446,0,FALSE,FALSE
50447,1,TRUE,FALSE
50448,0,FALSE,FALSE
50449,0,FALSE,FALSE
50450,0,FALSE,FALSE
50451,0,FALSE,FALSE
50454,258.75,TRUE,TRUE
50455,0,FALSE,FALSE
50456,0,FALSE,FALSE
50457,57,TRUE,FALSE
50458,0,FALSE,FALSE
50459,0,FALSE,FALSE
50464,0,FALSE,FALSE
50467,0,FALSE,FALSE
50468,0,FALSE,FALSE
50469,0,FALSE,FALSE
50470,0,FALSE,FALSE
50471,7,TRUE,FALSE
50473,0,FALSE,FALSE
50476,0,FALSE,FALSE
50477,20,TRUE,FALSE
50478,0,FALSE,FALSE
50481,0,FALSE,FALSE
50482,0,FALSE,FALSE
50483,0,FALSE,FALSE
50485,8,TRUE,FALSE
50486,3,TRUE,FALSE
50487,0,FALSE,FALSE
50488,0,FALSE,FALSE
50489,0,FALSE,FALSE
50491,0,FALSE,FALSE
50492,0,FALSE,FALSE
50494,0,FALSE,FALSE
50496,0,FALSE,FALSE
50497,0,FALSE,FALSE
50498,0,FALSE,FALSE
50502,8,TRUE,FALSE
50503,0,FALSE,FALSE
50506,0,FALSE,FALSE
50510,0,FALSE,FALSE
50512,0,FALSE,FALSE
50515,2,TRUE,FALSE
50516,0,FALSE,FALSE
50517,0,FALSE,FALSE
50522,0,FALSE,FALSE
50523,0,FALSE,FALSE
50526,0,FALSE,FALSE
50527,0,FALSE,FALSE
50528,0,FALSE,FALSE
50530,0,FALSE,FALSE
50531,0,FALSE,FALSE
50534,0,FALSE,FALSE
50535,0,FALSE,FALSE
50537,0,FALSE,FALSE
50539,0,FALSE,FALSE
50541,0,FALSE,FALSE
50542,0,FALSE,FALSE
50543,0,FALSE,FALSE
50544,0,FALSE,FALSE
50545,0,FALSE,FALSE
50546,0,FALSE,FALSE
50547,14.5,TRUE,FALSE
50548,0,FALSE,FALSE
50549,0,FALSE,FALSE
5054,0,FALSE,FALSE
50550,0,FALSE,FALSE
50551,0,FALSE,FALSE
50552,0,FALSE,FALSE
50557,0,FALSE,FALSE
50559,0,FALSE,FALSE
50560,1,TRUE,FALSE
50561,0,FALSE,TRUE
50562,0,FALSE,FALSE
50564,0,FALSE,FALSE
50565,0,FALSE,FALSE
50566,0,FALSE,FALSE
50567,0,FALSE,FALSE
50568,0,FALSE,FALSE
50569,0,FALSE,FALSE
50570,0,FALSE,FALSE
50571,0,FALSE,FALSE
50573,0,FALSE,FALSE
50575,0,FALSE,FALSE
50576,0,FALSE,FALSE
50577,0,FALSE,FALSE
50578,187.36,TRUE,FALSE
50579,0,FALSE,FALSE
50580,0,FALSE,FALSE
50581,0,FALSE,FALSE
50583,0,FALSE,FALSE
50584,0,FALSE,FALSE
50585,0,FALSE,FALSE
50586,0,FALSE,FALSE
50587,13,TRUE,FALSE
50588,0,FALSE,FALSE
50589,0,FALSE,FALSE
50590,21,TRUE,FALSE
50591,1,TRUE,FALSE
50592,0,FALSE,FALSE
50593,0,FALSE,FALSE
50594,2,TRUE,FALSE
50597,0,FALSE,FALSE
50598,0,FALSE,FALSE
50599,295,TRUE,TRUE
50601,2,TRUE,FALSE
50603,0,FALSE,FALSE
50604,0,FALSE,FALSE
50605,0,FALSE,FALSE
50607,0,FALSE,FALSE
50608,0,FALSE,FALSE
50609,3,TRUE,TRUE
50613,0,FALSE,FALSE
50615,0,FALSE,FALSE
50616,0,FALSE,FALSE
50618,0,FALSE,FALSE
50619,0,FALSE,FALSE
5061,0,FALSE,FALSE
50622,0,FALSE,FALSE
50623,0,FALSE,FALSE
50624,0,FALSE,FALSE
50625,276.24,TRUE,TRUE
50626,0,FALSE,FALSE
5062,0,FALSE,FALSE
50630,2,TRUE,FALSE
50631,0,FALSE,FALSE
50633,0,FALSE,FALSE
50635,7,TRUE,FALSE
50636,0,FALSE,FALSE
50637,0,FALSE,FALSE
50638,0,FALSE,FALSE
50641,0,FALSE,FALSE
50643,0,FALSE,FALSE
50644,0,FALSE,FALSE
50646,0,FALSE,FALSE
50649,0,FALSE,FALSE
50650,0,FALSE,FALSE
50651,0,FALSE,FALSE
50654,0,FALSE,FALSE
50655,0,FALSE,FALSE
50656,0,FALSE,FALSE
50657,0,FALSE,FALSE
50660,0,FALSE,TRUE
50661,0,FALSE,FALSE
50662,0,FALSE,FALSE
50663,0,FALSE,FALSE
50665,0,FALSE,FALSE
50666,0,FALSE,FALSE
50667,0,FALSE,FALSE
50668,0,FALSE,FALSE
50669,0,FALSE,FALSE
5066,0,FALSE,FALSE
50670,0,FALSE,FALSE
50671,0,FALSE,FALSE
50672,0,FALSE,FALSE
50674,19,TRUE,FALSE
50675,0,FALSE,FALSE
50676,0,FALSE,FALSE
50677,18,TRUE,FALSE
50678,0,FALSE,FALSE
50679,0,FALSE,FALSE
50680,0,FALSE,FALSE
50681,0,FALSE,FALSE
50682,0,FALSE,FALSE
50683,0,FALSE,FALSE
50684,0,FALSE,FALSE
50685,0,FALSE,FALSE
50686,19,TRUE,TRUE
50687,0,FALSE,FALSE
50688,0,FALSE,FALSE
50689,0,FALSE,FALSE
50690,0,FALSE,FALSE
50691,0,FALSE,FALSE
50692,0,FALSE,FALSE
50693,0,FALSE,FALSE
50694,0,FALSE,FALSE
50695,0,FALSE,FALSE
50696,0,FALSE,TRUE
50697,0,FALSE,FALSE
50698,10,TRUE,FALSE
50699,0,FALSE,FALSE
50700,0,FALSE,FALSE
50701,0,FALSE,FALSE
50702,0,FALSE,FALSE
50703,0,FALSE,FALSE
50704,0,FALSE,FALSE
50705,0,FALSE,FALSE
50706,0,FALSE,FALSE
50707,0,FALSE,FALSE
50708,0,FALSE,FALSE
50709,0,FALSE,FALSE
50710,0,FALSE,FALSE
50711,0,FALSE,FALSE
50712,0,FALSE,FALSE
50713,0,FALSE,FALSE
50714,0,FALSE,FALSE
50715,0,FALSE,FALSE
50716,0,FALSE,FALSE
50717,14,TRUE,TRUE
50718,0,FALSE,FALSE
50719,0,FALSE,FALSE
50720,0,FALSE,FALSE
50721,0,FALSE,FALSE
50722,0,FALSE,FALSE
50723,0,FALSE,FALSE
50724,0,FALSE,FALSE
50725,0,FALSE,FALSE
50726,0,FALSE,FALSE
50727,0,FALSE,FALSE
50728,0,FALSE,FALSE
50729,0,FALSE,FALSE
50730,0,FALSE,FALSE
50731,0,FALSE,FALSE
50732,0,FALSE,FALSE
50733,0.25,TRUE,FALSE
50734,0,FALSE,FALSE
50735,2,TRUE,FALSE
50736,1,TRUE,FALSE
50737,0,FALSE,FALSE
50738,0,FALSE,FALSE
50739,0,FALSE,FALSE
50740,0,FALSE,FALSE
50741,0,FALSE,FALSE
50742,0,FALSE,FALSE
50743,0,FALSE,FALSE
50744,2,TRUE,FALSE
50745,0,FALSE,FALSE
50746,0,FALSE,FALSE
50747,0,FALSE,FALSE
50748,0,FALSE,FALSE
50749,0,FALSE,FALSE
50750,0,FALSE,FALSE
50751,0,FALSE,FALSE
50752,0,FALSE,FALSE
50753,0,FALSE,FALSE
50754,0,FALSE,FALSE
50755,2,TRUE,FALSE
50756,0,FALSE,FALSE
50757,0,FALSE,FALSE
50758,17,TRUE,FALSE
50759,0,FALSE,FALSE
50760,0,FALSE,FALSE
50761,0,FALSE,FALSE
50762,0,FALSE,FALSE
50763,3,TRUE,FALSE
50764,0,FALSE,FALSE
50765,0,FALSE,FALSE
50766,0,FALSE,FALSE
50767,0,FALSE,FALSE
50768,0,FALSE,FALSE
5083,0,FALSE,FALSE
5084,0,FALSE,FALSE
5085,0,FALSE,FALSE
5086,0,FALSE,FALSE
5087,0,FALSE,FALSE
5090,0,FALSE,FALSE
5098,0,FALSE,FALSE
5099,0,FALSE,FALSE
51000,0,FALSE,FALSE
51001,0,FALSE,FALSE
51002,0,FALSE,FALSE
51003,0,FALSE,FALSE
51004,0,FALSE,FALSE
51005,0,FALSE,FALSE
51006,0,FALSE,FALSE
51007,0,FALSE,FALSE
51008,0,FALSE,FALSE
51012,0,FALSE,FALSE
51013,0,FALSE,FALSE
51014,0,FALSE,FALSE
51015,0,FALSE,FALSE
51016,0,FALSE,FALSE
51017,0,FALSE,FALSE
51018,0,FALSE,FALSE
51019,0,FALSE,FALSE
5101,0,FALSE,FALSE
51020,0,FALSE,FALSE
51021,0,FALSE,FALSE
51022,0,FALSE,FALSE
51023,0,FALSE,FALSE
51025,0,FALSE,FALSE
51027,0,FALSE,FALSE
51028,0,FALSE,FALSE
51029,0,FALSE,FALSE
51030,0,FALSE,FALSE
51031,0,FALSE,FALSE
51032,0,FALSE,FALSE
51033,0,FALSE,FALSE
51034,0,FALSE,FALSE
51035,0,FALSE,FALSE
51036,0,FALSE,FALSE
51037,0,FALSE,FALSE
51038,0,FALSE,FALSE
51039,0,FALSE,FALSE
51040,0,FALSE,FALSE
51041,0,FALSE,FALSE
51042,0,FALSE,FALSE
51043,0,FALSE,FALSE
51044,0,FALSE,FALSE
51045,0,FALSE,FALSE
51046,0,FALSE,FALSE
51047,0,FALSE,FALSE
51048,0,FALSE,FALSE
51049,0,FALSE,FALSE
51050,0,FALSE,FALSE
51051,0,FALSE,FALSE
51052,0,FALSE,FALSE
51053,0,FALSE,FALSE
51054,0,FALSE,FALSE
