ZIPCODEN,ZIPCODEA,ZIPTYPE,RESZIPN,RESZIPA,RUCA30
1245,1245,1,1245,1245,10.3
1247,1247,1,1247,1247,4.1
1252,1252,2,1230,1230,7
1253,1253,1,1253,1253,10.3
1254,1254,1,1254,1254,2
1255,1255,1,1255,1255,10.3
1256,1256,1,1256,1256,2
1257,1257,1,1257,1257,10.3
1258,1258,1,1258,1258,10.3
1259,1259,1,1259,1259,10.3
1260,1260,2,1238,1238,7.1
1262,1262,1,1262,1262,10.3
1263,1263,2,1262,1262,10.3
1264,1264,2,1238,1238,7.1
1266,1266,1,1266,1266,10.3
1267,1267,1,1267,1267,4.1
1270,1270,1,1270,1270,2
1301,1301,1,1301,1301,4.1
1302,1302,2,1301,1301,4.1
1330,1330,1,1330,1330,2
1331,1331,1,1331,1331,4.1
1337,1337,1,1337,1337,5
1338,1338,1,1338,1338,10.2
1339,1339,1,1339,1339,6
1340,1340,1,1340,1340,6
1341,1341,1,1341,1341,2
1342,1342,1,1342,1342,2
1343,1343,1,1343,1343,2
1344,1344,1,1344,1344,6
1346,1346,1,1346,1346,6
1347,1347,2,1351,1351,4.1
1349,1349,1,1349,1349,4.1
1350,1350,1,1350,1350,6
1351,1351,1,1351,1351,4.1
1354,1354,1,1354,1354,5
1355,1355,1,1355,1355,2
1360,1360,1,1360,1360,5
1364,1364,1,1364,1364,4.1
1366,1366,1,1366,1366,3
1367,1367,1,1367,1367,6
1368,1368,1,1368,1368,1.1
1370,1370,1,1370,1370,10.2
1373,1373,1,1373,1373,2
1375,1375,1,1375,1375,2
1376,1376,1,1376,1376,4.1
1378,1378,1,1378,1378,6
1379,1379,1,1379,1379,6
1380,1380,2,1379,1379,6
1420,1420,1,1420,1420,1.1
1430,1430,1,1430,1430,2
1431,1431,1,1431,1431,2
1432,1432,1,1432,1432,1
1434,1434,1,1434,1434,2
1436,1436,1,1436,1436,1.1
1438,1438,2,1468,1468,1.1
1440,1440,1,1440,1440,1.1
1441,1441,2,1440,1440,1.1
1450,1450,1,1450,1450,1
1451,1451,1,1451,1451,2
1452,1452,1,1452,1452,2
1453,1453,1,1453,1453,1.1
1460,1460,1,1460,1460,1
1462,1462,1,1462,1462,1.1
1463,1463,1,1463,1463,1.1
1464,1464,1,1464,1464,1
1467,1467,2,1451,1451,2
1468,1468,1,1468,1468,1.1
1469,1469,1,1469,1469,1
1470,1470,2,1450,1450,1
1471,1471,2,1450,1450,1
1472,1472,2,1464,1464,1
1473,1473,1,1473,1473,1.1
1474,1474,1,1474,1474,1
1475,1475,1,1475,1475,1.1
1477,1477,2,1475,1475,1.1
1501,1501,1,1501,1501,1.1
1503,1503,1,1503,1503,1
1504,1504,1,1504,1504,1.1
1505,1505,1,1505,1505,1.1
1506,1506,1,1506,1506,2
1507,1507,1,1507,1507,2.1
1508,1508,2,1507,1507,2.1
1509,1509,2,1507,1507,2.1
1510,1510,1,1510,1510,1.1
1515,1515,1,1515,1515,2
1516,1516,1,1516,1516,1.1
1517,1517,2,1541,1541,2
1518,1518,1,1518,1518,1.1
1519,1519,1,1519,1519,1.1
1520,1520,1,1520,1520,1.1
1521,1521,1,1521,1521,2.1
1522,1522,1,1522,1522,1.1
1523,1523,1,1523,1523,1.1
1524,1524,1,1524,1524,1.1
1525,1525,2,1588,1588,1.1
1526,1526,2,1590,1590,1.1
1527,1527,1,1527,1527,1.1
1529,1529,1,1529,1529,1.1
1531,1531,1,1531,1531,3
1532,1532,1,1532,1532,1.1
1534,1534,1,1534,1534,1.1
1535,1535,1,1535,1535,2
1536,1536,1,1536,1536,1.1
1537,1537,1,1537,1537,1.1
1538,1538,2,1569,1569,1.1
1540,1540,1,1540,1540,1.1
1541,1541,1,1541,1541,2
1542,1542,1,1542,1542,1.1
1543,1543,1,1543,1543,1.1
1545,1545,1,1545,1545,1.1
1546,1546,2,1545,1545,1.1
1550,1550,1,1550,1550,1.1
1560,1560,1,1560,1560,1.1
1561,1561,2,1523,1523,1.1
1562,1562,1,1562,1562,1.1
1564,1564,1,1564,1564,1.1
1566,1566,1,1566,1566,1.1
1568,1568,1,1568,1568,1
1569,1569,1,1569,1569,1.1
1570,1570,1,1570,1570,1.1
1571,1571,1,1571,1571,1.1
1581,1581,1,1581,1581,1.1
1583,1583,1,1583,1583,1.1
1585,1585,1,1585,1585,2
1586,1586,2,1588,1588,1.1
1588,1588,1,1588,1588,1.1
1590,1590,1,1590,1590,1.1
1601,1601,2,1609,1609,1.1
1602,1602,1,1602,1602,1.1
1603,1603,1,1603,1603,1.1
1604,1604,1,1604,1604,1.1
1605,1605,1,1605,1605,1.1
1606,1606,1,1606,1606,1.1
1607,1607,1,1607,1607,1.1
1608,1608,1,1608,1608,1.1
1609,1609,1,1609,1609,1.1
1610,1610,1,1610,1610,1.1
1611,1611,1,1611,1611,1.1
1612,1612,1,1612,1612,1.1
1613,1613,2,1608,1608,1.1
1614,1614,2,1608,1608,1.1
1615,1615,2,1609,1609,1.1
1653,1653,2,1605,1605,1.1
1654,1654,2,1609,1609,1.1
1655,1655,2,1605,1605,1.1
1701,1701,1,1701,1701,1
1702,1702,1,1702,1702,1
1703,1703,2,1701,1701,1
1704,1704,2,1701,1701,1
1705,1705,2,1701,1701,1
1718,1718,1,1718,1718,1
1719,1719,1,1719,1719,1
1720,1720,1,1720,1720,1
1721,1721,1,1721,1721,1
1730,1730,1,1730,1730,1
1731,1731,1,1731,1731,1
1740,1740,1,1740,1740,2
1741,1741,1,1741,1741,2
1742,1742,1,1742,1742,1
1745,1745,1,1745,1745,1
1746,1746,1,1746,1746,1
1747,1747,1,1747,1747,1
1748,1748,1,1748,1748,1
1749,1749,1,1749,1749,1
1752,1752,1,1752,1752,1
1754,1754,1,1754,1754,1
1756,1756,1,1756,1756,1
1757,1757,1,1757,1757,1
1760,1760,1,1760,1760,1
1770,1770,1,1770,1770,1
1772,1772,1,1772,1772,1
1773,1773,1,1773,1773,1
1775,1775,1,1775,1775,1
1776,1776,1,1776,1776,1
1778,1778,1,1778,1778,1
1784,1784,2,1748,1748,1
1801,1801,1,1801,1801,1
1803,1803,1,1803,1803,1
1805,1805,2,1803,1803,1
1810,1810,1,1810,1810,1
1812,1812,2,1810,1810,1
1813,1813,2,1867,1867,1
1815,1815,2,1801,1801,1
1821,1821,1,1821,1821,1
1822,1822,2,1821,1821,1
1824,1824,1,1824,1824,1
1826,1826,1,1826,1826,1
1827,1827,1,1827,1827,2
1830,1830,1,1830,1830,1
1831,1831,2,1830,1830,1
1832,1832,1,1832,1832,1
1833,1833,1,1833,1833,1
1834,1834,1,1834,1834,1
1835,1835,1,1835,1835,1
1840,1840,1,1840,1840,1
1841,1841,1,1841,1841,1
1842,1842,2,1840,1840,1
1843,1843,1,1843,1843,1
1844,1844,1,1844,1844,1
1845,1845,1,1845,1845,1
1850,1850,1,1850,1850,1
1851,1851,1,1851,1851,1
1852,1852,1,1852,1852,1
1853,1853,2,1850,1850,1
1854,1854,1,1854,1854,1
1860,1860,1,1860,1860,1
1862,1862,1,1862,1862,1
1863,1863,1,1863,1863,1
1864,1864,1,1864,1864,1
1865,1865,2,1821,1821,1
1866,1866,2,1821,1821,1
1867,1867,1,1867,1867,1
1876,1876,1,1876,1876,1
1879,1879,1,1879,1879,1
1880,1880,1,1880,1880,1
1885,1885,2,1921,1921,1
1886,1886,1,1886,1886,1
1887,1887,1,1887,1887,1
1888,1888,2,1801,1801,1
1889,1889,2,1864,1864,1
1890,1890,1,1890,1890,1
1899,1899,2,1810,1810,1
1901,1901,1,1901,1901,1
1902,1902,1,1902,1902,1
1903,1903,2,1902,1902,1
1904,1904,1,1904,1904,1
1905,1905,1,1905,1905,1
1906,1906,1,1906,1906,1
1907,1907,1,1907,1907,1
1908,1908,1,1908,1908,1
1910,1910,2,1904,1904,1
1913,1913,1,1913,1913,1
1915,1915,1,1915,1915,1
1921,1921,1,1921,1921,1
1922,1922,1,1922,1922,1
1923,1923,1,1923,1923,1
1929,1929,1,1929,1929,1
1930,1930,1,1930,1930,1
1931,1931,2,1930,1930,1
1936,1936,2,1982,1982,1
1937,1937,2,1923,1923,1
1938,1938,1,1938,1938,1
1940,1940,1,1940,1940,1
1944,1944,1,1944,1944,1
1945,1945,1,1945,1945,1
